X,Y,CCN,REPORT_DAT,SHIFT,METHOD,OFFENSE,BLOCK,XBLOCK,YBLOCK,WARD,ANC,DISTRICT,PSA,NEIGHBORHOOD_CLUSTER,BLOCK_GROUP,CENSUS_TRACT,VOTING_PRECINCT,LATITUDE,LONGITUDE,BID,START_DATE,END_DATE,OBJECTID,OCTO_RECORD_ID
405836.969999999,136773.199999999,25136502,2025/09/07 00:28:14+00,EVENING,OTHERS,THEFT/OTHER,4800 - 4899 BLOCK OF NANNIE HELEN BURROUGHS AVENUE NE,405836.97,136773.2,7,7C,6,602,Cluster 31,007804 1,007804,Precinct 98,38.8987906035,-76.932711419,,2025/09/06 23:52:00+00,2025/09/07 00:10:00+00,807493870,
396837.939999998,140214.859999999,25136674,2025/09/07 07:23:40+00,MIDNIGHT,OTHERS,ROBBERY,3101 - 3199 BLOCK OF 16TH STREET NW,396837.94,140214.86,1,1D,3,302,Cluster 2,002702 1,002702,Precinct 39,38.9298079189,-77.036468077,,2025/09/07 06:33:00+00,2025/09/07 06:35:00+00,807493871,
399212.619999997,133729.859999999,25131144,2025/09/01 13:50:10+00,DAY,OTHERS,MOTOR VEHICLE THEFT,1500 - 1599 BLOCK OF SOUTH CAPITOL STREET,399212.62,133729.86,6,6D,1,105,Cluster 9,006400 2,006400,Precinct 127,38.8713940602,-77.00907343,CAPITOL RIVERFRONT,2025/08/26 04:45:00+00,2025/08/26 04:58:00+00,807493887,
398532.619999997,137185.18,25132908,2025/08/31 14:31:51+00,DAY,OTHERS,MOTOR VEHICLE THEFT,400 - 443 BLOCK OF K STREET NW,398532.62,137185.18,6,6E,1,101,Cluster 8,004702 3,004702,Precinct 1,38.9025200206,-77.0169168373,MOUNT VERNON TRIANGLE CID,2025/08/31 13:43:00+00,2025/08/31 13:53:00+00,807493889,
396878.130000003,139879.120000001,25143745,2025/09/22 02:42:48+00,EVENING,OTHERS,MOTOR VEHICLE THEFT,1500 - 1599 BLOCK OF COLUMBIA ROAD NW,396878.13,139879.12,1,1A,3,302,Cluster 2,002802 2,002802,Precinct 36,38.9267836123,-77.0360030382,,2025/09/20 03:44:00+00,2025/09/20 04:39:00+00,807493925,
401781.710000001,141157.719999999,25143868,2025/09/20 12:28:05+00,DAY,OTHERS,THEFT F/AUTO,1800 - 1849 BLOCK OF RANDOLPH STREET NE,401781.71,141157.72,5,5B,5,504,Cluster 22,009400 2,009400,Precinct 69,38.9383053694,-76.9794490679,,2025/09/18 21:40:00+00,2025/09/18 22:10:00+00,807493926,
393427.719999999,143911.66,25147297,2025/09/26 20:19:17+00,EVENING,OTHERS,THEFT/OTHER,3800 - 3899 BLOCK OF LIVINGSTON STREET NW,393427.72,143911.66,3,3/4G,2,201,Cluster 10,001100 1,001100,Precinct 32,38.9630908287,-77.0758335902,,2025/09/26 19:07:00+00,2025/09/26 20:00:00+00,807493927,
398631.520000003,141465.710000001,25424148,2025/09/25 16:32:04+00,DAY,OTHERS,THEFT F/AUTO,300 - 314 BLOCK OF TAYLOR STREET NW,398631.52,141465.71,4,4C,4,407,Cluster 18,002301 2,002301,Precinct 45,38.9410805741,-77.0157851919,,2025/09/22 20:30:00+00,2025/09/24 12:00:00+00,807494083,
399350.189999998,137708.829999998,25138473,2025/09/10 21:39:16+00,EVENING,OTHERS,MOTOR VEHICLE THEFT,1 - 99 BLOCK OF N STREET NE,399350.19,137708.83,6,6E,5,501,Cluster 25,010601 1,010601,Precinct 144,38.907238228,-77.0074918952,NOMA,2025/09/10 17:44:00+00,2025/09/10 18:47:00+00,807494293,
394544.369999997,141442.109999999,25139354,2025/09/12 05:50:51+00,MIDNIGHT,OTHERS,MOTOR VEHICLE THEFT,3000 - 3029 BLOCK OF TILDEN STREET NW,394544.37,141442.11,3,3C,2,203,Cluster 12,000600 1,000600,Precinct 27,38.940852105,-77.0629295985,,2025/09/12 05:22:00+00,2025/09/12 05:30:00+00,807494294,
399950.43,137425.379999999,25139556,2025/09/12 17:02:46+00,DAY,OTHERS,THEFT F/AUTO,1100 - 1199 BLOCK OF 4TH STREET NE,399950.43,137425.38,6,6C,5,501,Cluster 25,010602 4,010602,Precinct 83,38.9046850503,-77.0005714901,,2025/09/12 15:00:00+00,2025/09/12 16:00:00+00,807494295,
391066.119999997,139692.59,25141827,2025/09/16 19:45:50+00,EVENING,KNIFE,ASSAULT W/DANGEROUS WEAPON,5100 - 5199 BLOCK OF SHERIER PLACE NW,391066.12,139692.59,3,3D,2,205,Cluster 13,000902 2,000902,Precinct 8,38.9250634226,-77.1030277122,,2025/09/16 16:05:00+00,2025/09/16 16:10:00+00,807494296,
402021.840000004,135279.16,25143878,2025/09/20 13:53:49+00,DAY,OTHERS,THEFT/OTHER,1900 - 1999 BLOCK OF C STREET SE,402021.84,135279.16,7,7F,1,107,Cluster 26,006804 1,006804,Precinct 80,38.8853487908,-76.9766966245,,2025/09/20 12:35:00+00,2025/09/20 13:54:00+00,807494297,
405654.618900001,138217.111099999,25144604,2025/09/21 22:16:31+00,EVENING,GUN,ROBBERY,1600 - 1699 BLOCK OF KENILWORTH AVENUE NE,405654.6189152,138217.111101696,7,7D,6,601,Cluster 29,009601 1,009601,Precinct 92,38.9117990484,-76.9348016731,,2025/09/21 19:41:00+00,2025/09/21 22:15:00+00,807494298,
399345.920000002,138303.129999999,25145056,2025/09/23 01:16:01+00,EVENING,OTHERS,THEFT F/AUTO,10 - 99 BLOCK OF R STREET NE,399345.92,138303.13,5,5F,5,502,Cluster 21,008701 1,008701,Precinct 75,38.9125918826,-77.0075416916,,2025/09/22 15:25:00+00,2025/09/22 19:00:00+00,807494299,
397655.049999997,137783.489999998,25423907,2025/09/09 15:33:24+00,DAY,OTHERS,THEFT/OTHER,1300 - 1399 BLOCK OF 11TH STREET NW,397655.05,137783.49,2,2F,3,307,Cluster 7,004902 1,004902,Precinct 129,38.9079079032,-77.0270360333,,2025/09/07 00:21:00+00,2025/09/07 00:23:00+00,807494494,
401492.420000002,136756.449999999,25135426,2025/09/05 01:19:13+00,EVENING,OTHERS,THEFT/OTHER,1500 - 1599 BLOCK OF GALES STREET NE,401492.42,136756.45,7,7D,5,507,Cluster 25,007901 4,007901,Precinct 81,38.8986578254,-76.9827954181,,2025/08/10 22:56:00+00,,807494675,
403259.9463,131832.6677,25135986,2025/09/06 02:28:56+00,EVENING,OTHERS,SEX ABUSE,2800 - 2899 BLOCK OF 31ST STREET SE,403259.946336978,131832.667671771,7,7B,6,606,Cluster 35,007603 4,007603,Precinct 113,38.8542976731,-76.9624427708,,2025/09/05 03:30:00+00,2025/09/05 05:45:00+00,807494676,
397301.729999997,137919.210000001,25136063,2025/09/06 02:39:37+00,EVENING,OTHERS,THEFT/OTHER,1300 - 1399 BLOCK OF RHODE ISLAND AVENUE NW,397301.73,137919.21,2,2F,3,307,Cluster 7,005003 1,005003,Precinct 16,38.9091295021,-77.031110159,,2025/09/06 01:40:00+00,2025/09/06 02:15:00+00,807494677,
397162.130000003,140894.100000001,25139322,2025/09/12 04:08:09+00,MIDNIGHT,OTHERS,THEFT/OTHER,3523 - 3599 BLOCK OF 14TH STREET NW,397162.13,140894.1,1,1A,4,408,Cluster 2,002900 2,002900,Precinct 41,38.9359278257,-77.0327319989,,2025/09/12 02:00:00+00,2025/09/12 04:00:00+00,807494678,
396290.68,138791.809999999,25142150,2025/09/17 12:32:23+00,DAY,OTHERS,THEFT/OTHER,1800 - 1899 BLOCK OF VERNON STREET NW,396290.68,138791.81,1,1C,3,303,Cluster 1,004002 2,004002,Precinct 25,38.9169864908,-77.0427719429,ADAMS MORGAN,2025/09/17 04:00:00+00,,807494679,
398030.840000004,139732.75,25142483,2025/09/17 23:24:46+00,EVENING,OTHERS,MOTOR VEHICLE THEFT,2700 - 2799 BLOCK OF GEORGIA AVENUE NW,398030.84,139732.75,1,1E,3,306,Cluster 3,003400 4,003400,Precinct 37,38.9254684045,-77.0227089642,,2025/09/17 13:00:00+00,2025/09/17 20:15:00+00,807494680,
398185.240000002,138058.149999999,25423861,2025/09/04 16:02:32+00,DAY,OTHERS,THEFT F/AUTO,1500 - 1599 BLOCK OF MARION STREET NW,398185.24,138058.15,2,2G,3,308,Cluster 7,004801 1,004801,Precinct 18,38.9103833894,-77.0209239491,,2025/09/03 16:00:00+00,2025/09/03 16:10:00+00,807494708,
399074.100000001,137856.300000001,25424058,2025/09/18 11:02:01+00,DAY,OTHERS,THEFT/OTHER,1 - 99 BLOCK OF O STREET NW,399074.1,137856.3,5,5E,3,308,Cluster 21,004600 1,004600,Precinct 19,38.9085664412,-77.0106752357,,2025/09/16 18:37:00+00,2025/09/16 18:40:00+00,807494709,
402158.310000002,138824.530000001,25142167,2025/09/17 12:44:22+00,DAY,OTHERS,THEFT/OTHER,1800 - 2299 BLOCK OF NEW YORK AVENUE NE,402158.31,138824.53,5,5C,5,505,Cluster 22,011100 3,011100,Precinct 72,38.9172864211,-76.9751125549,,2025/09/17 11:56:00+00,2025/09/17 12:05:00+00,807495013,
391084.409999996,140340.649999999,25142577,2025/09/18 04:34:51+00,MIDNIGHT,OTHERS,BURGLARY,3100 - 3199 BLOCK OF 51ST PLACE NW,391084.41,140340.65,3,3D,2,205,Cluster 13,000904 1,000904,Precinct 8,38.9309015315,-77.1028252056,,2025/09/18 02:10:00+00,2025/09/19 03:30:00+00,807495014,
397229.100000001,138975.93,25143033,2025/09/19 00:19:57+00,EVENING,OTHERS,THEFT/OTHER,2100 - 2199 BLOCK OF 14TH STREET NW,397229.1,138975.93,1,1B,3,305,Cluster 3,004401 2,004401,Precinct 22,38.9186485641,-77.0319518232,,2025/09/18 23:50:00+00,2025/09/19 00:03:00+00,807495015,
